ADM1_EN,ADM2_EN,a7,a8,a10_child,a10_adult,a10_elder,a11,a14,a9_male,a9_female,g5,g6,g8,g9,g19,g4,g7_i,g7_ii,g7_iii,g7_iv,g7_v,g7_vi,g7_vii,g7_viii,g7_ix,g7_x,g7_xi,g7_xii,g7_xiii,g7_xiv,a13,g44,g45_i,g45_ii,g45_iii,g45_iv,g45_v,g45_vi,g45_vii,b5,b6,b7,g15_i,g15_ii,g15_iii,g29,g25,g26,g28,g34_i,g34_ii,g34_iii,g34_iv,g34_v,g34_vi,g34_vii,g34_viii,g34_ix,g34_x,g34_xi,g32,g35,c3,g56,g57,c2,g95,g96,g97,g99,g98,b1,b3,g102,g37,g38,g39,b2,g41,a16,a17,g85,g89,g68,g66,g54,g54_i,g54_ii,g54_iii,g54_v,g54_vi,c9,g61,g62_i,g62_ii,g63,g51,g51b,a12,g53a,g53b_i,g53b_ii,g53b_iii,g53b_iv,g53b_v,g53b_vi,g53b_vii,g52,a22,a26_i,a26_ii,a26_iii,a26_iv,a26_xv,a26_v,a26_vi,a26_vii,a26_viii,a26_ix,a26_x,a26_xi,a26_xii,a26_xiii,a26_xiv,a15_i,a15_ii,a15_iii,a15_iv,a15_v,a15_xiv,a15_vi,a15_viii,a15_ix,a15_x,a15_xiii,a15_xii,a15_xi,a15_xv,a15_xvi,a15_xvii,a15_xviii,a15_xix,a15_xx,a15_xxi,a15_xxiii,a15_xxiv,g67,g73,g74,f7b,d1_ii,d1_iii,d1_iv,d1_v,d1_vi,d1_vii,d1_viii,d1_i,d1_ix,d1_x,d1_xi,d1_xii,d1_xiii,d2_ii,d2_iii,d2_iv,d2_v,d2_vi,d2_i,d2_vii,d2_viii,d2_ix,d2_x,d3_ii,d3_iii,d3_iv,d3_v,d3_i,d3_vi,d3_vii,d3_viii,d3_ix,d3_x,d3_xi,d3_xii,d3_xiii,d3_xiv,d3_xv,d4,d5_i,d5_ii,d5_iii,d5_iv,d5_v,d5_vi,d5_vii,d5_viii,d5_ix,d5_x,d6,d7,d10,d12,d15,indicative,g94,g46,g64,g65_i,g65_ii,g65_iii,g65_iv,g65_v,g65_vi,g65_vii,g65_viii,g65_ix,g65_x,a28,f7,f7,d8_i,d8_ii,d8_iii,d8_iv,d8_v,d8_vi,d8_vii,d8_viii,a24,a25,a29,a15_vii,a15_xxii
Al-Anbar,Al-Falluja,6.179854849,5.831883331,44.7849947,51.6404981,3.5745072,15.6139972,15.6139972,47.9498446,52.0501554,81.5556489,81.5556489,98.0981532,12.4911978,7.1757315,18.4443511,7.780953,0,33.3333333,7.780953,23.342859,0,0,0,0,17.7714273,12.7761902,17.7714273,0,9.9904743,11.09019818,30.3936078,72.1803964,17.0928049,2.6065345,13.3333333,48.1202642,13.3333333,0,55.4590783,22.2588194,14.1817914,96.8772006,3.1227994,0,75.6984985,100,61.986348,100,62.4200233,1.2328727,0,4.9314907,0,7.397236,0,38.4778494,24.3835637,3.2572283,0,79.1029688,46.0319037,11.2702451,1.9201055,5.7055403,15.6139972,94.5057129,40.6668105,0,87.7788315,96.5367535,85.9474025,92.1803964,96.5367535,36.9923109,63.8061355,6.9264929,15.1443563,100,97.5580946,16.2244736,83.294244,25.5108127,3.8893331,6.3529674,78.3541254,56.5624786,72.4465051,57.1055082,26.3051588,0,74.6875946,0.9509234,0.9509234,0,3.8746551,73.4972898,66.845343,0,0.6104763,0.6104763,0,0,0,0,0,0,46.2236685,61.0354246,68.3392474,6.6225574,29.597595,44.0396983,1.3245115,22.9750376,43.453833,1.3245115,0,6.7753382,11.4875188,0,2.649023,12.3789457,0,11.3241337,2.2648267,4.5296535,8.5584115,0,0,3.3972401,0,59.581797,49.2594542,55.9233119,4.660276,5.7926894,0,11.7160012,0,5.1611714,2.8963447,2.8963447,8.1881386,1.1324134,2.2648267,57.6872432,4.5296535,52.8996205,83.5836024,14.381403,22.1296254,80.3826977,49.0842855,24.5715308,6.2455989,35.1021057,46.1023214,0.6104763,5.3650932,0,1.5613997,2.8527701,63.3481361,51.2561615,19.4764669,49.3543148,11.5990506,9.4975922,6.6564636,29.748654,1.5613997,0,43.1791336,52.3362788,60.6245599,53.0875906,8.6875043,13.1720918,7.26694,2.1718761,0,5.5647048,0,0,0.6104763,0,0,71.1551347,13.4466894,87.1143709,9.3548605,0,0,1.7159024,0,12.0276778,0,0,79.5743765,19.0892149,1.3364086,83.5836024,26.1329306,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Al-Sulaymaniyah,Al-Sulaymaniyah,6.066776321,6.133714308,55.580453,43.7104513,0.7090957,4.513325,3.4692898,50.6202383,49.3797617,55.9749815,57.706033,83.4043272,52.307649,3.4621029,42.293967,0,0,52.86645,0,26.433225,0,0,0,9.2846404,0,0,0,0,16.0580048,25.15388798,33.8478769,87.0510568,15.2882926,15.2882926,0,0,2.3393495,0,69.2389608,7.8395399,21.3174616,100,0,0,100,100,24.6481944,100,76.1652366,5.2605656,0,2.0943756,54.749285,5.9586908,0,16.8535112,4.5624404,0,0,86.4155875,17.7252475,5.86753,0.2291482,1.4975469,1.2683986,100,10.8184671,0,64.7463203,99.7708518,91.7021636,100,97.5803155,16.4730154,54.7217888,32.8395399,1.7266951,100,90.1466254,96.775758,100,1.2683986,13.8013488,15.7742128,23.9090459,16.3665245,11.0637818,7.4877343,3.0019727,0,7.8107226,0,0,0,0,3.4549509,2.9711567,1.2683986,0.2291482,0,0.2291482,0,0,0,0,0,0,71.8984154,0,0,100,0,0,0,100,0,0,0,0,0,0,0,0,30.0085827,69.6304548,31.9060706,10.9907903,6.8514393,0,39.4794349,0,0.9404503,46.582574,31.9226579,0,0,0,0,0,0,0,0,0,0,0,31.9226579,31.9060706,2.7659455,74.7931719,97.0049063,58.0686881,99.7708518,13.4779217,0,1.2683986,0,0,0,26.7266951,0,0,0,96.7919246,98.6251105,74.4190461,1.3748895,0.4582965,0.6874447,1.1457412,1.9558433,0.2291482,0,61.8738839,95.7365077,3.9116867,98.7316014,37.7904769,0.4582965,0,0,0,0.2291482,0,0,0,0,0,95.9656559,66.9906574,97.1177757,0,0,0,1.3217214,4.4427272,69.1565372,0,0,49.9360931,46.7041196,0,74.7931719,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Al-Sulaymaniyah,Kalar,4.80952381,4.793650794,47.4294533,48.5015117,4.069035,20.6349206,17.4603175,51.3088939,48.6911061,52.6315789,52.6315789,79.3650794,44.4444444,0,47.3684211,0,0,44.4444444,0,38.8888889,0,0,0,16.6666667,0,0,0,0,11.1111111,9.090909091,27.7777778,100,0,0,0,0,44.4444444,0,68.2539683,4.7619048,19.047619,100,0,0,100,100,28.5714286,100,58.6206897,6.8965517,0,0,55.1724138,34.4827586,0,27.5862069,6.8965517,0,0,66.6666667,26.984127,9.5238095,0,0,1.5873016,100,74.6031746,0,63.4920635,100,96.8253968,90.9090909,92.0634921,14.2857143,46.031746,31.7460317,4.7619048,100,100,100,95.2380952,0,30,17.0731707,33.8983051,17.4603175,11.2903226,19.047619,11.2903226,0,16.6666667,0,0,0,0,5.8823529,5.8823529,3.1746032,0,0,0,0,0,0,0,0,0,57.1428571,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,46.031746,61.9047619,12.6984127,11.1111111,20.6349206,0,34.9206349,0,12.6984127,49.2063492,12.6984127,1.5873016,3.1746032,0,1.5873016,0,0,0,0,0,0,0,12.6984127,12.6984127,0,69.8113208,98.4126984,50.7936508,100,9.5238095,0,0,0,6.3492063,0,26.984127,0,0,0,73.015873,77.7777778,71.4285714,19.047619,14.2857143,6.3492063,3.1746032,4.7619048,0,0,39.6825397,88.8888889,22.2222222,98.4126984,42.8571429,0,0,0,0,0,0,0,0,0,0,84.1269841,58.490566,83.0188679,0,0,0,0,3.7735849,28.3018868,0,0,66.0377358,24.5283019,0,69.8113208,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Baghdad,Al-Kadhmiyah,6.266666667,4.822222222,28.7655924,68.2784993,2.9559083,8.8888889,6.6666667,46.1486291,53.8513709,62.5,62.5,95.5555556,15.5555556,0,37.5,33.3333333,0,0,0,66.6666667,0,0,0,0,0,0,0,0,0,3.03030303,18.1818182,83.3333333,33.3333333,16.6666667,0,0,0,0,40,31.1111111,2.2222222,100,0,0,100,100,84.4444444,100,0,0,0,0,0,0,0,0,0,0,0,44.4444444,44.4444444,4.4444444,0,0,13.3333333,100,26.6666667,0,82.2222222,100,80,100,95.5555556,53.3333333,68.8888889,0,24.4444444,95.5555556,100,28.8888889,64.4444444,46.6666667,0,0,26.6666667,15.5555556,20,8.8888889,4.4444444,0,50,0,0,0,0,19.3548387,13.3333333,0,0,0,0,0,0,0,0,0,36.6666667,53.3333333,47.6190476,38.0952381,28.5714286,19.047619,4.7619048,9.5238095,0,4.7619048,0,19.047619,42.8571429,4.7619048,14.2857143,0,0,37.5,4.1666667,16.6666667,20.8333333,0,0,4.1666667,0,58.3333333,4.1666667,4.1666667,0,4.1666667,0,8.3333333,0,0,0,0,0,0,0,4.1666667,16.6666667,8.8888889,100,42.2222222,44.4444444,48.8888889,64.4444444,57.7777778,13.3333333,2.2222222,2.2222222,0,2.2222222,0,0,0,46.6666667,31.1111111,51.1111111,42.2222222,33.3333333,11.1111111,2.2222222,2.2222222,0,0,57.7777778,53.3333333,37.7777778,42.2222222,11.1111111,2.2222222,20,4.4444444,2.2222222,17.7777778,0,2.2222222,0,0,0,33.3333333,33.3333333,66.6666667,0,0,0,0,0,0,0,0,33.3333333,13.3333333,0,100,13.3333333,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Baghdad,Al-Risafa,5,4.066666667,30.9303351,61.2918871,7.7777778,15.9090909,15.9090909,41.0511464,58.9488536,80,80,93.3333333,11.1111111,0,20,50,0,25,0,0,0,0,0,0,0,0,25,0,0,0,18.1818182,42.8571429,14.2857143,28.5714286,42.8571429,14.2857143,14.2857143,0,57.7777778,26.6666667,4.4444444,97.7777778,2.2222222,0,88.8888889,100,88.8888889,100,41.1764706,0,0,0,0,0,0,5.8823529,14.7058824,0,0,60,35.5555556,6.6666667,0,2.2222222,11.1111111,100,17.7777778,0,86.6666667,100,46.6666667,85.7142857,97.7777778,33.3333333,55.5555556,11.1111111,4.4444444,97.7777778,100,82.2222222,55.5555556,13.3333333,0,0,4.5454545,4.4444444,2.2222222,2.2222222,2.2727273,0,100,0,0,0,2.2222222,37.5,6.8965517,0,2.2222222,0,0,0,0,0,0,0,34.4827586,48.8888889,55,35,50,55,5,10,25,0,0,0,0,0,0,0,0,32,12,12,4,0,0,4,0,32,28,12,0,4,0,4,0,16,0,4,16,4,8,12,12,13.3333333,90.9090909,37.7777778,33.3333333,60,44.4444444,37.7777778,8.8888889,22.2222222,26.6666667,2.2222222,8.8888889,0,2.2222222,0,48.8888889,53.3333333,35.5555556,26.6666667,37.7777778,11.1111111,0,0,0,0,42.2222222,64.4444444,55.5555556,37.7777778,13.3333333,24.4444444,8.8888889,0,2.2222222,11.1111111,0,0,0,0,0,48.8888889,27.2727273,86.3636364,0,0,0,22.7272727,0,18.1818182,0,0,95.4545455,4.5454545,0,90.9090909,33.3333333,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Diyala,Baquba,5.088888889,5.088888889,47.5714286,50.1322751,2.2962963,17.7777778,17.7777778,50.2671958,49.7328042,88.5714286,88.5714286,100,6.6666667,2.8571429,11.4285714,0,0,0,0,50,0,0,0,0,50,0,0,0,0,7.407407407,0,100,100,0,66.6666667,33.3333333,0,0,75.5555556,17.7777778,6.6666667,75.5555556,24.4444444,0,80,100,60,100,27.7777778,0,0,0,0,16.6666667,0,22.2222222,22.2222222,0,0,13.3333333,42.2222222,11.1111111,4.5454545,8.8888889,2.2222222,75.5555556,44.4444444,0,84.4444444,88.8888889,97.7777778,100,100,37.7777778,55.5555556,51.1111111,13.3333333,100,100,31.1111111,100,13.3333333,0,8.1081081,58.1395349,40.9090909,27.2727273,38.6363636,6.8181818,0,60,0,0,0,0,9.7560976,9.7560976,0,0,0,0,0,0,0,0,0,34.1463415,53.3333333,56,0,40,44,0,36,44,0,0,24,4,0,16,0,12,0,0,0,0,0,0,0,0,80,70,65,5,25,0,5,0,0,0,0,0,0,0,70,0,51.1111111,75,44.4444444,55.5555556,42.2222222,17.7777778,20,13.3333333,17.7777778,28.8888889,6.6666667,4.4444444,2.2222222,0,0,42.2222222,44.4444444,6.6666667,37.7777778,13.3333333,48.8888889,0,22.2222222,11.1111111,8.8888889,37.7777778,40,46.6666667,66.6666667,40,13.3333333,6.6666667,0,0,2.2222222,4.4444444,0,0,0,0,35.5555556,6.25,100,0,0,0,25,0,25,0,0,100,0,0,75,53.3333333,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Diyala,Khanaqin,5.393908639,5.327793337,43.9561945,49.9515117,6.0922938,13.8037377,16.0136041,50.2733248,49.7266752,86.4817967,86.4817967,95.7881804,12.7006916,0.4143835,13.5182033,0,0,36.389926,0,22.7009693,0,0,0,6.1307485,3.7791041,19.4514848,0,0,18.3922456,2.798702245,9.8506632,93.7857097,55.2181425,6.2142903,34.5158376,51.7737563,14.38721,0,75.2896105,17.7799459,6.8239014,85.6332975,14.3667025,0,27.6319043,100,13.4221769,100,26.1665603,2.4067399,0,1.8786186,3.3815134,18.2142304,0,26.3971982,17.3918546,0,0,15.1122601,49.6309212,7.3894517,3.0622848,8.9069276,1.3254028,71.5829228,54.2184469,0,84.6713864,92.4184752,91.6560372,97.7603834,98.3580807,24.7284586,58.9183694,51.1557971,11.0102518,98.796623,100,36.1343876,100,9.7523109,9.8928494,9.5802249,68.2903326,47.3464399,36.7746864,49.2526295,8.1350542,0,68.901848,0,0,0,0.3818254,7.6092031,6.1163841,0,0,0,0,0,0,0,0,0,28.4349839,40.1212532,57.7854039,1.8812259,42.9811907,51.2014648,0,32.9160055,54.6878066,1.1858553,0,11.1798164,2.1929478,0,13.480303,0,0,25.649911,21.7969887,1.8321365,2.4428487,4.8856973,0,6.8600297,0.6107122,33.3292712,43.905276,53.0778433,5.1334089,28.9906991,0,1.2214243,0,6.7447407,0,1.505816,0.752908,0,0,55.6628878,1.8321365,39.4457547,72.5948164,45.4796687,53.3159141,53.3048884,16.0161897,23.7872021,6.9979054,22.1089768,34.6212209,4.3470999,5.1143523,0.3008443,0,0,59.2808209,43.3033549,23.2412662,34.8313632,10.603222,29.9552077,1.0426276,17.4765161,15.5184578,4.9307193,34.5449623,59.8983495,45.405847,67.5340816,34.555988,10.2323303,1.9090222,0,0,0.9545111,2.2799138,0.3708917,0.9545111,0,0.3008443,44.1310258,32.1880415,100,9.5438968,0,0,12.9774154,0,22.4963282,0,0,81.5939133,14.3158452,0,73.2100981,45.8600407,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Duhok,Al-Amadiya,6.03125,5.4375,41.1955536,50.6273631,8.1770833,6.557377,8.1967213,54.6951746,45.3048254,71.7948718,74.3589744,96.875,10.9375,2.5641026,25.6410256,9.0909091,0,0,0,0,0,0,0,9.0909091,0,0,36.3636364,18.1818182,45.4545455,11.11111111,14.2857143,100,10,0,10,0,10,0,71.875,3.125,6.25,98.4375,1.5625,0,17.1875,100,4.6875,100,72,0,0,0,0,28,0,2,6,0,0,71.875,39.0625,18.75,1.5873016,9.375,3.125,98.4375,62.5,0,85.9375,90.625,67.1875,100,88.8888889,28.125,64.0625,40.625,7.8125,98.4375,100,57.8125,59.375,7.8125,1.9607843,94.5454545,8.3333333,0,1.6666667,3.3333333,1.6666667,0,41.6666667,0,0,0,0,31.372549,27.4509804,0,0,0,0,0,0,0,0,0,3.9215686,51.5625,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.6825397,25.3968254,7.9365079,11.1111111,1.5873016,1.5873016,11.1111111,1.5873016,4.7619048,30.1587302,28.5714286,0,11.1111111,0,12.6984127,0,1.5873016,1.5873016,4.7619048,11.1111111,1.5873016,0,28.5714286,7.9365079,53.125,70.4918033,51.5625,37.5,42.1875,15.625,31.25,3.125,12.5,34.375,0,1.5625,1.5625,0,7.8125,53.125,28.125,32.8125,3.125,0,1.5625,3.125,23.4375,4.6875,1.5625,34.375,28.125,28.125,54.6875,1.5625,17.1875,4.6875,0,0,4.6875,0,0,0,0,0,95.3125,67.2131148,96.7213115,0,0,0,3.2786885,40.9836066,32.7868852,0,0,88.5245902,6.557377,0,72.8813559,15.625,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Duhok,Sumail,6.513243117,6.236982108,45.9718813,49.5126396,4.5154791,5.781967,4.4593468,50.8543588,49.1456412,70.7931031,71.3871925,100,15.8178952,3.0802917,28.6128075,8.7907188,0,24.7174897,2.2679302,12.2071853,0,1.164229,0,0,11.5361349,4.1396058,18.0796267,1.3253868,21.0988016,12.35281659,24.2163553,74.7772219,24.607943,10.4030269,23.3568468,7.0225008,7.988271,1.617721,75.0556264,10.9698547,9.2949822,96.1355177,3.8644823,0,24.6556506,94.5805937,10.387755,94.3682855,81.0910155,0.7564076,0,0,0.5884509,26.374286,0,11.0310398,7.4508895,0.2676885,0,73.2948591,41.9077701,14.5914083,1.9129508,8.9708459,6.2654194,99.2494948,39.248118,0,96.3154118,91.8116731,76.9876932,63.7397013,88.5891835,50.39576,74.506759,40.9459656,26.1535735,98.0552508,100,58.4728017,69.2510618,9.9064012,11.2307914,91.7824895,2.1994416,1.2629865,0.5940359,0,0,0,46.7663462,0,0,0,0,51.9250486,48.9452205,0.7417133,1.8548345,1.8548345,0,0,0,0,0,0,19.1538176,35.7851341,53.9656731,0,21.248025,20.2686392,0,13.5124262,32.1071868,14.491812,0,10.2944899,0,0,0,0,0,46.3224985,21.2889712,20.0493034,11.1461937,1.2951185,0,6.0328235,0,7.3855949,25.1193561,34.7646635,0.6877691,7.7098613,0,28.1871006,1.2213425,1.3598949,0.671834,0.473487,9.9287974,1.0348497,0.2615812,35.2617714,20.0493034,38.7279693,56.151786,50.6172971,21.4069332,60.2799395,15.6600972,19.3204574,2.60643,29.7876957,42.6631066,0.9018627,5.1004036,1.6167565,0.4246163,2.6213227,66.3661611,43.2775697,12.3299048,3.7218576,1.4235091,0.7597848,1.199615,14.493286,1.5552578,0,27.0716223,45.181769,35.3933515,54.5542591,2.4983684,13.3423739,3.0707538,1.245616,0.556285,3.3194424,0,0,0,0.5650769,0,82.6729917,54.9199999,88.4293601,1.0706135,0,0,3.7155379,28.4360322,34.0696016,0,0.3077207,79.444278,7.3219247,2.0982896,58.3955689,12.026333,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
