ADM1_EN,ADM2_EN,a7,a8,a10_child,a10_adult,a10_elder,a11,a14,a9_male,a9_female,g5,g6,g8,g9,g19,g4,g7_i,g7_ii,g7_iii,g7_iv,g7_v,g7_vi,g7_vii,g7_viii,g7_ix,g7_x,g7_xi,g7_xii,g7_xiii,g7_xiv,a13,g44,g45_i,g45_ii,g45_iii,g45_iv,g45_v,g45_vi,g45_vii,b5,b6,b7,g15_i,g15_ii,g15_iii,g29,g25,g26,g28,g34_i,g34_ii,g34_iii,g34_iv,g34_v,g34_vi,g34_vii,g34_viii,g34_ix,g34_x,g34_xi,g32,g35,c3,g56,g57,c2,g95,g94,g96,g97,g99,g98,b1,b3,g46,g102,g37,g38,g39,b2,g41,a16,a17,g85,g89,g68,g66,g64,g65_i,g65_ii,g65_iii,g65_iv,g65_v,g65_vi,g65_vii,g65_viii,g65_ix,g65_x,g54,g54_i,g54_ii,g54_iii,g54_v,g54_vi,c9,g61,g62_i,g62_ii,g63,g51,g51b,a12,g53a,g53b_i,g53b_ii,g53b_iii,g53b_iv,g53b_v,g53b_vi,g53b_vii,g52,a22,a24,a25,a29,a26_i,a26_ii,a26_iii,a26_iv,a26_xv,a26_v,a26_vi,a26_vii,a26_viii,a26_ix,a26_x,a26_xi,a26_xii,a26_xiii,a26_xiv,a15_i,a15_ii,a15_iii,a15_iv,a15_v,a15_xiv,a15_vi,a15_vii,a15_viii,a15_ix,a15_x,a15_xiii,a15_xii,a15_xi,a15_xv,a15_xvi,a15_xvii,a15_xviii,a15_xix,a15_xx,a15_xxi,a15_xxii,a15_xxiii,a15_xxiv,g67,g73,g74,f7,f7b,d1_ii,d1_iii,d1_iv,d1_v,d1_vi,d1_vii,d1_viii,d1_i,d1_ix,d1_x,d1_xi,d1_xii,d1_xiii,d2_ii,d2_iii,d2_iv,d2_v,d2_vi,d2_i,d2_vii,d2_viii,d2_ix,d2_x,d3_ii,d3_iii,d3_iv,d3_v,d3_i,d3_vi,d3_vii,d3_viii,d3_ix,d3_x,d3_xi,d3_xii,d3_xiii,d3_xiv,d3_xv,d4,d5_i,d5_ii,d5_iii,d5_iv,d5_v,d5_vi,d5_vii,d5_viii,d5_ix,d5_x,d6,d7,d10,d12,d15,indicative,d8_i,d8_ii,d8_iii,d8_iv,d8_v,d8_vi,d8_vii,d8_viii
Al-Anbar,Al-Falluja,5.392156863,4.862745098,45.9129814,48.2731375,5.8138811,20.5882353,19.6078431,48.4303823,51.5696177,88.1578947,88.1578947,99.0196078,11.7647059,9.2105263,11.8421053,77.7777778,0,0,11.1111111,11.1111111,0,0,0,0,0,0,0,0,11.1111111,15.38461538,34.7826087,61.5384615,38.4615385,7.6923077,15.3846154,0,15.3846154,0,54.9019608,8.8235294,5.8823529,97.0588235,2.9411765,0,54.9019608,99.0196078,40.1960784,99.0196078,29.8245614,0,0,0,0,1.754386,0,1.754386,8.7719298,1.754386,0,48.0392157,30.3921569,5.8823529,1.9607843,1.9607843,1.9607843,100,100,8.8235294,94.1176471,84.3137255,93.1372549,68.627451,94.1176471,37.5,97.0588235,51.9607843,75.4901961,2.9411765,4.9019608,93.1372549,51.9607843,28.4313725,80.3921569,37.254902,7.8431373,31.372549,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,0,0,0,0,0,66.6666667,0,0,0,0,33.3333333,24.5098039,1.9607843,0,0,0,0,0,0,0,0,21.5686275,4.9019608,100,90.0990099,71.2328767,81.8181818,18.1818182,45.4545455,36.3636364,9.0909091,0,9.0909091,0,0,0,0,0,0,0,0,70.3296703,34.0659341,37.3626374,10.989011,10.989011,6.5934066,2.1978022,0,0,2.1978022,5.4945055,38.4615385,3.2967033,6.5934066,0,0,0,6.5934066,0,0,6.5934066,0,0,0,39.5604396,37.3626374,12.745098,0,83.3333333,44.1176471,55.8823529,66.6666667,37.254902,40.1960784,4.9019608,14.7058824,22.5490196,0,1.9607843,0,0,0,59.8039216,43.1372549,36.2745098,58.8235294,28.4313725,13.7254902,1.9607843,2.9411765,0,0,52.9411765,60.7843137,63.7254902,51.9607843,9.8039216,12.745098,6.8627451,1.9607843,1.9607843,1.9607843,0,0,0,0,0,11.7647059,33.3333333,100,0,0,0,58.3333333,16.6666667,0,0,0,66.6666667,16.6666667,8.3333333,83.3333333,36.2745098,0,NA,NA,NA,NA,NA,NA,NA,NA
Al-Anbar,Al-Ramadi,4.781914894,4.643617021,40.3761398,57.5094985,2.1143617,15.0537634,11.827957,49.5972644,50.4027356,79.1304348,80.8695652,90.4255319,11.7021277,5.2173913,19.1304348,54.1666667,8.3333333,16.6666667,4.1666667,16.6666667,0,0,0,0,0,4.1666667,0,4.1666667,0,7.920792079,22.9166667,35.2941176,35.2941176,29.4117647,11.7647059,5.8823529,35.2941176,0,60.106383,7.4468085,17.5531915,100,0,0,44.6808511,92.5531915,32.9787234,92.5531915,32.4786325,0.8547009,0.8547009,1.7094017,0,1.7094017,0,5.982906,11.1111111,4.2735043,0,53.1914894,34.0425532,10.6382979,0.5319149,0.5319149,14.893617,91.4893617,97.3404255,30.3191489,99.4680851,83.5106383,96.8085106,56.9148936,72.7272727,28.0821918,91.9786096,53.7234043,68.0851064,0,2.6595745,93.0851064,10.6382979,61.1702128,80.3191489,39.3617021,6.3829787,28.7234043,3.2085561,0,0,0,100,0,0,0,0,0,0,7.9787234,1.0695187,0,6.9148936,0,0,40,0,0,0,0.5434783,39.893617,23.9361702,2.1276596,0,0,0,0,0,0,0,0,23.4042553,1.5957447,100,94.5652174,61.6352201,76.9230769,38.4615385,23.0769231,30.7692308,7.6923077,15.3846154,0,0,0,0,0,0,0,0,0,41.7142857,21.1428571,21.7142857,9.1428571,10.2857143,10.8571429,3.4285714,2.8571429,0,16.5714286,14.8571429,42.2857143,3.4285714,15.4285714,0,2.2857143,0,7.4285714,1.7142857,5.1428571,6.2857143,0,0,0,42.8571429,21.7142857,9.5744681,2.8571429,74.6031746,40.4255319,42.0212766,66.4893617,45.7446809,40.9574468,9.0425532,17.5531915,23.4042553,1.0638298,4.2553191,0,0,0,72.3404255,48.9361702,40.4255319,51.0638298,18.6170213,14.893617,3.1914894,3.7234043,0,0,55.3191489,53.7234043,73.4042553,37.2340426,13.2978723,11.7021277,4.2553191,2.1276596,1.5957447,7.4468085,0,0,0,0,0,33.5106383,0,100,1.5873016,1.5873016,0,12.6984127,12.6984127,11.1111111,0,0,100,0,0,74.6031746,39.3617021,0,NA,NA,NA,NA,NA,NA,NA,NA
Al-Anbar,Al-Rutba,7.047619048,5.380952381,35.6993403,61.4414554,2.8592043,2.3809524,2.3809524,52.918041,47.081959,92.5925926,92.5925926,97.6190476,7.1428571,0,7.4074074,0,0,0,0,50,0,0,0,0,0,0,50,0,0,0,25,54.5454545,27.2727273,0,18.1818182,9.0909091,54.5454545,0,69.047619,28.5714286,16.6666667,90.4761905,9.5238095,0,92.8571429,100,57.1428571,100,39.2857143,3.5714286,0,0,0,0,0,0,3.5714286,3.5714286,3.5714286,52.3809524,59.5238095,7.1428571,4.7619048,2.3809524,4.7619048,100,88.0952381,33.3333333,100,71.4285714,100,41.4634146,100,47.5,76.1904762,76.1904762,78.5714286,16.6666667,2.3809524,100,0,57.1428571,83.3333333,42.8571429,9.5238095,40.4761905,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,2.3809524,0,0,2.3809524,0,0,33.3333333,0,0,0,2.6315789,23.8095238,23.8095238,0,0,0,0,0,0,0,0,0,9.5238095,7.1428571,100,66.6666667,50,100,42.8571429,21.4285714,7.1428571,0,0,0,0,0,0,0,0,0,0,0,37.037037,22.2222222,18.5185185,7.4074074,7.4074074,3.7037037,0,0,0,25.9259259,11.1111111,33.3333333,0,0,0,11.1111111,0,3.7037037,0,11.1111111,29.6296296,0,0,0,33.3333333,18.5185185,19.047619,5.8823529,100,59.5238095,28.5714286,57.1428571,42.8571429,54.7619048,0,19.047619,11.9047619,0,9.5238095,0,0,0,78.5714286,30.952381,23.8095238,45.2380952,21.4285714,26.1904762,2.3809524,9.5238095,0,0,45.2380952,33.3333333,64.2857143,50,2.3809524,23.8095238,14.2857143,0,0,23.8095238,0,0,0,0,0,7.1428571,0,100,0,0,0,0,0,0,0,0,100,0,0,100,23.8095238,1,NA,NA,NA,NA,NA,NA,NA,NA
Al-Anbar,Heet,5.345132743,4.566371681,34.7271386,60.3718921,4.9009692,6.3636364,5.4054054,49.6070375,50.3929625,94.9152542,96.6101695,100,13.2743363,8.4745763,3.3898305,100,0,0,0,0,0,0,0,0,0,0,0,0,0,10.76923077,6.25,33.3333333,33.3333333,0,0,33.3333333,0,33.3333333,38.9380531,13.2743363,3.539823,100,0,0,82.300885,98.2300885,72.5663717,98.2300885,47.1428571,0,0,0,1.4285714,0,0,10,18.5714286,2.8571429,0,74.3362832,41.5929204,6.1946903,0,0,20.3539823,100,99.1150442,17.699115,99.1150442,76.1061947,100,41.9642857,80,51.25,91.1504425,54.8672566,76.1061947,1.7699115,0,97.3451327,0,70.7964602,87.6106195,23.8938053,2.6548673,24.7787611,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,0,0,0,0,0,57.1428571,0,0,0,0,30.0884956,8.8495575,1.7699115,0,0,0,0,0,0,0,0,29.2035398,9.7345133,100,96.1165049,53.6842105,83.3333333,16.6666667,16.6666667,16.6666667,0,0,0,0,0,0,0,0,0,0,0,56.0747664,17.7570093,17.7570093,7.4766355,13.0841121,5.6074766,3.7383178,0.9345794,0,22.4299065,14.953271,43.9252336,4.6728972,13.0841121,0,0,0,12.1495327,0,3.7383178,13.0841121,0,0,0.9345794,43.9252336,17.7570093,0.8849558,1.7241379,#N/A,30.9734513,33.6283186,60.1769912,51.3274336,45.1327434,7.079646,24.7787611,35.3982301,2.6548673,0,0,0,0,72.5663717,47.7876106,57.5221239,39.8230088,18.5840708,20.3539823,3.539823,7.079646,0.8849558,0,64.6017699,64.6017699,53.0973451,41.5929204,15.0442478,15.0442478,6.1946903,5.3097345,0.8849558,8.8495575,0,0,0,0,0,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,39.8230088,0,NA,NA,NA,NA,NA,NA,NA,NA
Al-Basrah,Al-Basrah,5,4.703703704,29.5733793,69.1097483,1.3168724,12.962963,11.1111111,50.4875474,49.5124526,92.8571429,92.8571429,98.1481481,14.8148148,3.5714286,7.1428571,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,5,9.0909091,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,59.2592593,42.5925926,9.2592593,100,0,0,100,100,87.037037,100,40,0,0,0,0,0,0,2.8571429,17.1428571,0,0,59.2592593,42.5925926,5.5555556,0,0,11.1111111,100,98.1481481,0,100,79.6296296,100,18.5185185,33.3333333,33.3333333,90.7407407,44.4444444,51.8518519,0,0,98.1481481,0,88.8888889,79.6296296,1.8518519,14.8148148,42.5925926,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,0,0,0,0,0,100,0,0,0,0,38.8888889,29.6296296,1.8518519,0,0,0,0,0,0,0,0,25.9259259,0,100,86.8421053,69.6969697,60,20,30,20,20,10,0,0,10,0,0,0,0,10,0,61.9047619,4.7619048,4.7619048,2.3809524,2.3809524,2.3809524,0,2.3809524,2.3809524,28.5714286,21.4285714,35.7142857,7.1428571,21.4285714,0,11.9047619,0,9.5238095,2.3809524,4.7619048,21.4285714,0,0,0,35.7142857,4.7619048,5.5555556,0,100,33.3333333,24.0740741,64.8148148,44.4444444,42.5925926,20.3703704,22.2222222,31.4814815,0,3.7037037,0,0,0,62.962963,42.5925926,37.037037,37.037037,40.7407407,16.6666667,1.8518519,0,0,0,55.5555556,72.2222222,66.6666667,33.3333333,12.962963,16.6666667,1.8518519,1.8518519,0,0,0,0,0,0,0,29.6296296,25,93.75,0,0,0,68.75,0,43.75,0,0,100,0,0,100,40.7407407,1,NA,NA,NA,NA,NA,NA,NA,NA
Al-Najaf,Al-Kufa,4.898305085,4.762711864,26.9636437,69.9148874,3.1214689,15.2542373,11.8644068,50.5943209,49.4056791,85.7142857,89.2857143,98.3050847,13.559322,17.8571429,10.7142857,25,0,0,0,25,0,0,0,0,50,0,25,0,50,10.86956522,6.6666667,75,0,50,50,0,0,0,50.8474576,35.5932203,6.779661,100,0,0,91.5254237,100,83.0508475,100,42.5,0,0,0,0,2.5,0,12.5,25,7.5,0,69.4915254,47.4576271,16.9491525,0,0,23.7288136,91.5254237,98.3050847,33.8983051,100,77.9661017,100,32.2033898,57.1428571,40,86.440678,52.5423729,61.0169492,6.779661,0,100,0,86.440678,66.1016949,11.8644068,1.6949153,22.0338983,1.7241379,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,5.7692308,0,1.8518519,0,0,0,60,0,0,0,0,27.1186441,13.559322,1.6949153,0,0,0,0,0,0,0,0,25.4237288,0,100,97.9591837,75,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,48.0769231,17.3076923,7.6923077,9.6153846,1.9230769,3.8461538,0,0,0,17.3076923,23.0769231,26.9230769,11.5384615,17.3076923,0,1.9230769,5.7692308,5.7692308,17.3076923,9.6153846,19.2307692,0,0,0,34.6153846,7.6923077,18.6440678,8.6956522,78.5714286,22.0338983,33.8983051,69.4915254,30.5084746,33.8983051,5.0847458,30.5084746,35.5932203,3.3898305,3.3898305,3.3898305,0,0,57.6271186,55.9322034,40.6779661,35.5932203,25.4237288,16.9491525,11.8644068,6.779661,1.6949153,1.6949153,57.6271186,62.7118644,55.9322034,37.2881356,13.559322,13.559322,6.779661,0,0,11.8644068,3.3898305,0,0,0,0,23.7288136,57.1428571,100,0,0,0,21.4285714,0,0,0,0,100,0,0,78.5714286,25.4237288,1,NA,NA,NA,NA,NA,NA,NA,NA
Al-Najaf,Al-Najaf,6.294117647,5.235294118,34.9522536,63.3467023,1.7010441,11.7647059,9.8039216,48.9373426,51.0626574,89.6551724,89.6551724,100,17.6470588,0,10.3448276,0,33.3333333,33.3333333,0,0,0,0,0,0,66.6666667,0,33.3333333,0,33.3333333,0,7.1428571,66.6666667,33.3333333,0,33.3333333,33.3333333,0,0,60.7843137,25.4901961,19.6078431,90.1960784,9.8039216,0,100,100,84.3137255,100,37.8378378,0,0,0,0,0,0,18.9189189,8.1081081,8.1081081,0,70.5882353,45.0980392,7.8431373,0,0,13.7254902,92.1568627,94.1176471,31.372549,100,94.1176471,96.0784314,39.2156863,60,48.8888889,86.2745098,58.8235294,66.6666667,5.8823529,1.9607843,100,17.6470588,56.8627451,88.2352941,37.254902,1.9607843,15.6862745,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,0,0,0,0,0,25,0,0,0,0,56.8627451,47.0588235,1.9607843,0,0,0,0,0,0,0,0,29.4117647,1.9607843,100,81.8181818,79.4117647,100,62.5,0,0,0,0,75,0,0,0,0,0,0,0,0,46.3414634,21.9512195,19.5121951,7.3170732,2.4390244,2.4390244,0,0,0,19.5121951,41.4634146,43.902439,14.6341463,21.9512195,0,0,0,4.8780488,2.4390244,2.4390244,14.6341463,0,0,0,48.7804878,19.5121951,23.5294118,0,69.2307692,27.4509804,39.2156863,78.4313725,23.5294118,17.6470588,3.9215686,43.1372549,50.9803922,1.9607843,1.9607843,0,0,0,72.5490196,64.7058824,45.0980392,35.2941176,13.7254902,7.8431373,7.8431373,3.9215686,0,0,58.8235294,58.8235294,66.6666667,43.1372549,5.8823529,7.8431373,3.9215686,0,0,13.7254902,0,0,0,0,0,25.4901961,15.3846154,100,0,0,0,23.0769231,0,0,0,0,100,0,0,69.2307692,49.0196078,1,NA,NA,NA,NA,NA,NA,NA,NA
Al-Qadissiya,Al-Diwaniya,5.366666667,5.283333333,40.6593915,54.7414021,4.5992063,6.6666667,5,51.8214286,48.1785714,92.3076923,92.3076923,95,15,10.2564103,7.6923077,33.3333333,0,66.6666667,0,0,0,0,0,0,33.3333333,0,0,0,0,13.88888889,#N/A,72.7272727,9.0909091,0,0,72.7272727,0,9.0909091,26.6666667,5,5,98.3333333,1.6666667,0,70,96.6666667,68.3333333,96.6666667,60.8695652,2.173913,0,0,0,13.0434783,0,45.6521739,6.5217391,2.173913,0,76.6666667,35,10,1.6666667,5,0,98.3333333,95,68.3333333,91.6666667,90,96.6666667,21.6666667,33.3333333,23.2142857,86.6666667,40,40,13.3333333,1.6666667,93.3333333,3.3333333,81.6666667,33.3333333,0,5,36.6666667,6.6666667,50,0,0,0,50,0,0,0,0,0,43.3333333,11.8644068,35,0,33.3333333,0,66.6666667,0,0,0,0,81.6666667,80,0,0,0,0,0,0,0,0,0,21.6666667,13.3333333,100,98,87.755102,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,0,0,3.3898305,0,0,0,0,0,18.6440678,27.1186441,45.7627119,1.6949153,10.1694915,5.0847458,3.3898305,1.6949153,13.559322,0,32.2033898,69.4915254,0,0,0,47.4576271,0,11.6666667,0,0,0,18.3333333,80,15,18.3333333,5,28.3333333,68.3333333,0,18.3333333,0,0,8.3333333,81.6666667,30,23.3333333,31.6666667,3.3333333,8.3333333,21.6666667,31.6666667,0,0,45,43.3333333,51.6666667,50,5,18.3333333,30,5,0,5,0,0,0,0,0,8.3333333,20,80,0,0,0,0,0,20,0,0,40,40,60,0,10,1,NA,NA,NA,NA,NA,NA,NA,NA
Al-Sulaymaniyah,Al-Sulaymaniyah,5.604651163,5.593023256,42.0618142,53.6824222,4.2557636,8.5365854,8.5365854,50.1447616,49.8552384,69.4915254,69.4915254,63.9534884,17.4418605,1.6949153,30.5084746,11.1111111,0,50,0,22.2222222,0,0,0,0,5.5555556,0,5.5555556,0,11.1111111,6.12244898,25,90,10,0,30,0,0,10,93.0232558,58.1395349,16.2790698,90.6976744,8.1395349,1.1627907,93.0232558,96.5116279,11.627907,96.5116279,70.4545455,4.5454545,0,6.8181818,20.4545455,2.2727273,0,6.8181818,0,0,2.2727273,40.6976744,45.3488372,11.627907,3.4883721,17.4418605,3.4883721,100,79.0697674,19.7674419,97.6744186,95.3488372,82.5581395,79.0697674,100,70.2702703,54.1176471,36.0465116,61.627907,47.6744186,3.4883721,91.8604651,4.6511628,90.6976744,100,5.8139535,12.0481928,38.372093,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,0,0,0,0,0,20,0,0,0,0,19.7674419,15.1162791,0,0,0,0,0,0,0,0,0,17.4418605,3.4883721,100,98.3870968,61.8181818,100,0,100,0,100,0,0,0,0,0,0,0,0,0,0,47.5609756,35.3658537,4.8780488,13.4146341,24.3902439,0,0,2.4390244,0,0,53.6585366,40.2439024,0,3.6585366,0,1.2195122,1.2195122,0,0,0,1.2195122,0,7.3170732,0,40.2439024,4.8780488,13.9534884,0,52.173913,81.3953488,24.4186047,74.4186047,3.4883721,6.9767442,2.3255814,5.8139535,30.2325581,1.1627907,17.4418605,0,0,6.9767442,87.2093023,63.9534884,36.0465116,6.9767442,5.8139535,1.1627907,0,20.9302326,0,0,51.1627907,50,48.8372093,63.9534884,8.1395349,15.1162791,6.9767442,0,0,1.1627907,0,0,0,0,1.1627907,26.744186,8.6956522,86.9565217,0,0,0,0,26.0869565,26.0869565,0,0,26.0869565,65.2173913,5.8823529,57.1428571,6.9767442,1,NA,NA,NA,NA,NA,NA,NA,NA
Al-Sulaymaniyah,Chamchamal,5.8,5.75,47.2572751,50.7242063,2.0185185,14.2857143,16.0714286,47.6269841,52.3730159,60.4651163,60.4651163,66.6666667,30,2.3255814,39.5348837,29.4117647,5.8823529,47.0588235,0,5.8823529,0,0,0,23.5294118,0,0,5.8823529,0,11.7647059,13.33333333,11.1111111,88.8888889,0,0,22.2222222,0,11.1111111,0,76.6666667,38.3333333,18.3333333,93.3333333,6.6666667,0,86.6666667,95,26.6666667,90,56.5217391,4.3478261,0,8.6956522,8.6956522,0,0,8.6956522,4.3478261,0,0,56.6666667,55,8.3333333,5,8.3333333,1.6666667,100,75,20,100,93.3333333,91.6666667,93.3333333,100,60.3773585,55,23.3333333,45,26.6666667,0,90,3.3333333,93.3333333,96.6666667,1.6666667,10.1694915,75,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1.6949153,0,0,0,1.6666667,0,0,0,0,0,0,10,10,0,0,0,0,0,0,0,0,0,11.6666667,6.6666667,100,100,60.4166667,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,72.4137931,25.862069,6.8965517,12.0689655,8.6206897,1.7241379,0,0,0,0,41.3793103,41.3793103,5.1724138,10.3448276,1.7241379,1.7241379,0,0,0,0,0,0,0,0,41.3793103,6.8965517,10,#N/A,37.5,90,40,78.3333333,1.6666667,8.3333333,5,0,15,1.6666667,13.3333333,1.6666667,0,5,91.6666667,51.6666667,30,13.3333333,16.6666667,3.3333333,0,8.3333333,0,0,60,41.6666667,31.6666667,70,16.6666667,13.3333333,8.3333333,0,0,0,0,0,0,0,0,13.3333333,12.5,87.5,0,0,0,0,12.5,0,0,0,37.5,57.1428571,0,37.5,3.3333333,1,NA,NA,NA,NA,NA,NA,NA,NA
Al-Sulaymaniyah,Derbendikhan,5.426229508,5.491803279,49.7066094,43.3899297,6.9034608,16.9491525,13.559322,53.2721832,46.7278168,78.2608696,78.2608696,59.0163934,21.3114754,0,21.7391304,0,0,60,0,10,0,0,0,10,0,10,10,0,20,3.333333333,7.1428571,100,40,20,0,0,0,0,88.5245902,63.9344262,13.1147541,96.7213115,3.2786885,0,100,100,19.6721311,100,73.3333333,0,0,16.6666667,20,3.3333333,0,6.6666667,3.3333333,0,0,50.8196721,49.1803279,16.3934426,8.1967213,22.9508197,8.1967213,100,77.0491803,47.5409836,100,90.1639344,86.8852459,85.2459016,75,51.9230769,75,37.704918,62.295082,49.1803279,1.6393443,100,0,91.8032787,95.0819672,1.6393443,8.1967213,77.0491803,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,0,0,0,0,0,60,0,0,0,0,6.557377,6.557377,0,0,0,0,0,0,0,0,0,26.2295082,4.9180328,100,100,69.7674419,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,53.4482759,13.7931034,1.7241379,22.4137931,8.6206897,0,0,0,0,5.1724138,70.6896552,53.4482759,3.4482759,8.6206897,0,0,0,0,0,0,1.7241379,0,1.7241379,0,56.8965517,1.7241379,4.9180328,0,30,83.6065574,40.9836066,73.7704918,0,4.9180328,4.9180328,4.9180328,9.8360656,0,16.3934426,0,0,6.557377,100,67.2131148,40.9836066,8.1967213,11.4754098,0,0,0,0,0,47.5409836,63.9344262,32.7868852,88.5245902,16.3934426,6.557377,0,0,0,0,0,0,0,0,0,16.3934426,0,100,0,0,0,0,0,0,0,10,50,44.4444444,0,30,1.6393443,1,NA,NA,NA,NA,NA,NA,NA,NA
Al-Sulaymaniyah,Dokan,5.6,5.6,45.3736772,50.8544372,3.7718855,8.3333333,13.3333333,45.5363155,54.4636845,67.5,67.5,65,18.3333333,0,32.5,0,0,61.5384615,7.6923077,7.6923077,0,0,0,7.6923077,0,7.6923077,0,0,23.0769231,0,6.6666667,100,0,0,0,50,12.5,0,88.3333333,63.3333333,20,98.3333333,1.6666667,0,96.6666667,98.3333333,18.3333333,98.3333333,84.2105263,5.2631579,0,0,36.8421053,5.2631579,0,5.2631579,5.2631579,0,0,31.6666667,41.6666667,5,1.6666667,13.3333333,6.6666667,100,91.6666667,23.3333333,100,91.6666667,88.3333333,91.6666667,100,50.9803922,83.3333333,35,71.6666667,51.6666667,3.3333333,88.3333333,5,93.3333333,98.3333333,1.6666667,5.0847458,91.6666667,1.8181818,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,0,0,0,0,0,66.6666667,0,0,0,0,13.3333333,13.3333333,0,0,0,0,0,0,0,0,0,8.3333333,3.3333333,100,100,63.1578947,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,55,41.6666667,3.3333333,18.3333333,3.3333333,0,0,0,0,0,55,58.3333333,6.6666667,8.3333333,0,0,0,6.6666667,0,0,0,0,0,0,61.6666667,3.3333333,1.6666667,0,36.3636364,81.6666667,26.6666667,76.6666667,1.6666667,1.6666667,0,0,28.3333333,0,18.3333333,0,0,11.6666667,78.3333333,63.3333333,53.3333333,11.6666667,20,5,0,3.3333333,0,0,26.6666667,65,60,86.6666667,13.3333333,5,1.6666667,0,0,0,0,0,0,0,0,18.3333333,9.0909091,90.9090909,0,0,0,0,0,9.0909091,0,0,18.1818182,80,0,40,5,1,NA,NA,NA,NA,NA,NA,NA,NA
